SPONSORED BY GRASSROOTS ANALYTICS,,,,,,,,,,,,,,,,
Calculated by The Downballot,,,,Subscribe to our newsletter,,,,,,,Follow @the-downballot.com on Bluesky,,,,,
District,Incumbent,Party,,2024,,,,,,,2020,,,,,
,,,,Harris,Trump,Total,Harris %,Trump %,Margin,,Biden,Trump,Total,Biden %,Trump %,Margin
MA-02,Jim McGovern,(D),,"231,966","141,308","382,912",60.58%,36.90%,23.68%,,"254,528","132,546","395,665",64.33%,33.50%,30.83%
MA-03,Lori Trahan,(D),,"208,626","140,854","357,054",58.43%,39.45%,18.98%,,"233,536","131,375","372,676",62.66%,35.25%,27.41%
MA-04,Jake Auchincloss,(D),,"237,730","158,054","403,966",58.85%,39.13%,19.72%,,"263,669","145,121","416,487",63.31%,34.84%,28.46%
MA-05,Katherine Clark,(D),,"265,591","97,371","372,437",71.31%,26.14%,45.17%,,"298,842","94,405","399,703",74.77%,23.62%,51.15%
MA-06,Seth Moulton,(D),,"255,729","166,654","430,682",59.38%,38.70%,20.68%,,"283,226","158,963","450,070",62.93%,35.32%,27.61%
MA-07,Ayanna Pressley,(D),,"222,693","47,009","278,443",79.98%,16.88%,63.10%,,"269,381","41,245","314,904",85.54%,13.10%,72.45%
MA-08,Stephen Lynch,(D),,"242,623","139,502","390,362",62.15%,35.74%,26.42%,,"277,534","130,407","414,844",66.90%,31.44%,35.47%
MA-09,Bill Keating,(D),,"249,776","200,506","457,746",54.57%,43.80%,10.76%,,"266,296","183,101","457,586",58.20%,40.01%,18.18%
MD-01,Andy Harris,(R),,"171,555","243,356","424,523",40.41%,57.32%,-16.91%,,"171,268","230,930","410,539",41.72%,56.25%,-14.53%
MD-02,Johnny Olszewski,(D),,"227,194","154,843","392,005",57.96%,39.50%,18.46%,,"232,384","150,927","391,029",59.43%,38.60%,20.83%
MD-03,Sarah Elfreth,(D),,"249,542","151,360","413,154",60.40%,36.64%,23.76%,,"255,249","149,743","413,425",61.74%,36.22%,25.52%
MD-04,Glenn Ivey,(D),,"240,880","33,369","281,855",85.46%,11.84%,73.62%,,"271,589","26,247","302,947",89.65%,8.66%,80.99%
MD-05,Steny Hoyer,(D),,"280,941","138,217","428,752",65.53%,32.24%,33.29%,,"280,898","128,846","416,761",67.40%,30.92%,36.48%
MD-06,April McClain Delaney,(D),,"200,040","177,658","387,773",51.59%,45.81%,5.77%,,"200,375","163,848","371,676",53.91%,44.08%,9.83%
MD-07,Kweisi Mfume,(D),,"236,171","58,128","302,076",78.18%,19.24%,58.94%,,"251,751","54,327","310,936",80.97%,17.47%,63.49%
MD-08,Jamie Raskin,(D),,"296,254","78,619","385,512",76.85%,20.39%,56.45%,,"321,508","71,547","399,296",80.52%,17.92%,62.60%
ME-01,Chellie Pingree,(D),,"258,863","165,214","433,356",59.73%,38.12%,21.61%,,"258,001","159,932","430,096",59.99%,37.19%,22.80%
ME-02,Jared Golden,(D),,"176,789","212,763","397,438",44.48%,53.53%,-9.05%,,"177,070","200,803","389,278",45.49%,51.58%,-6.10%
MI-01,Jack Bergman,(R),,"187,850","290,869","485,753",38.67%,59.88%,-21.21%,,"182,977","274,971","465,104",39.34%,59.12%,-19.78%
MI-02,John Moolenaar,(R),,"151,066","283,908","441,509",34.22%,64.30%,-30.09%,,"145,196","262,155","414,538",35.03%,63.24%,-28.21%
MI-03,Hillary Scholten,(D),,"226,857","193,356","427,349",53.08%,45.25%,7.84%,,"222,098","186,701","416,906",53.27%,44.78%,8.49%
